"","Zeitstempel","X...WICHTIG.....Ich.bin.damit.einverstanden..dass.die.mit.dieser.Umfrage.gesammelten..anonymen..Daten.vom.Dozenten.zum.Zwecke.der.Veranschaulichung.von.Methoden.genutzt.werden..Potenziell.sensible.Informationen.werden.nicht.an.Dritte.weitergegeben..","Ihr.Geschlecht.","Welche.Schuhgroesse.haben.Sie.","Was.ist.Ihre.Koerpergroesse..in.cm..","Geben.Sie.an.bzw..schaetzen.Sie..wie.viele.Liegestuetze.Sie.am.Stueck.schaffen.","Auf.einer.Skala.von.1..ueberhaupt.nicht..bis.10..sehr.stark...wie.sehr.interessieren.Sie.sich.fuer.Statistik.","Auf.einer.Skala.von.1..ueberhaupt.nicht..bis.10..sehr.stark...wie.sehr.interessieren.Sie.sich.fuer.wirtschaftliche.Zusammenhaenge.","Auf.einer.Skala.von.1..ueberhaupt.nicht..bis.10..sehr.stark...wie.sehr.interessieren.Sie.sich.fuer.Mathematik.","Auf.einer.Skala.von.1..ueberhaupt.nicht.gerne..bis.10..sehr.gerne...wie.gerne.ueben.Sie.Programmiertaetigkeiten.aus.","Wie.war.Ihr.Abischnitt.","Wie.viele.Punkte.hatten.Sie.in.der.Schule.zuletzt.in.Mathematik.","Wie.weit.entfernt.von.der.Uni.wohnen.Sie.waehrend.des.Semesters..Schaetzen.Sie.die.Entfernung..in.km..","Wie.lange.brauchen.Sie.fuer.Ihren.Weg.zur.Uni..Schaetzen.Sie.die.Dauer..in.Minuten..","Koennen.Sie.sich.vorstellen..einen.Dr..zu.machen.","Muessen.Sie.nebenbei.arbeiten..um.Ihr.Studium.zu.finanzieren.","Wie.viele.Stunden.pro.Woche.treiben.Sie.Sport.","Haben.Sie.derzeit.einen.Partner.bzw..eine.Partnerin.","Welche.Partei.werden.Sie.bei.der.naechsten.Bundestagswahl.voraussichtlich.waehlen.","Was.ist.der.hoechste.von.einem.Ihrer.Elternteile.erreichte.Bildungsgrad.","Welches.Einstiegsgehalt..Euro..monatlich..netto..erwarten.Sie.fuer.sich.nach.Abschluss.des.Studiums.","Kommen.Sie.aus.Ostwestfalen.","Ihre.Handy.Bildschirmzeit.am.Tag...in.Stunden.","Trinken.Sie.Alkohol.","Rauchen.Sie.","Haben.Sie.schon.mal.gekifft.","Soll.der.Dozent.in.der.Vorlesung.gendern."
"175","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",43,185,50,6,8,8,6,"2,3","9",3,1,"ja","nein",4,"ja","CDU/CSU","Dr.",4,"nein","7","gelegentlich (einige Male pro Monat)","nein","ja","bitte nicht"
"176","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",42,170,11,9,7,4,8,"1,9","8",12,20,"ja","ja",6,"ja","CDU/CSU","Diplom (abgeschlossenes Studium)",2000,"ja","3","selten (einige Male pro Jahr)","nein","nein","bitte nicht"
"177","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",36,167,0,3,9,3,3,"1,7","7",1,10,"keine Ahnung","ja",2,"nein","Die Linke","Hauptschul- oder Realschulabschluss",4700,"nein","8","gelegentlich (einige Male pro Monat)","ja","ja","mir egal"
"178","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",40,176,0,6,6,7,1,"2,5","15",90,55,"nein","ja",12,"nein","Die Linke","Diplom (abgeschlossenes Studium)",3500,"ja","8","gelegentlich (einige Male pro Monat)","nur gelegentlich","ja","mir egal"
"179","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",45,174,31,8,7,9,6,"2,3","9",54,50,"keine Ahnung","ja",4,"ja","CDU/CSU","Abitur",3200,"ja","7","gelegentlich (einige Male pro Monat)","nein","nein","bitte nicht"
"180","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",43,180,30,6,6,7,6,"2,7","7",3,20,"keine Ahnung","nein",11,"nein","werde nicht waehlen","Abitur",2500,"ja","7","selten (einige Male pro Jahr)","nein","ja","bitte nicht"
"181","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",40,165,1,2,6,3,1,"3,1","6",27,65,"ja","kann Frage nicht sinnvoll beantworten",2.5,"nein","CDU/CSU","Hauptschul- oder Realschulabschluss",2500,"ja","4","gelegentlich (einige Male pro Monat)","nur gelegentlich","nein","mir egal"
"182","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",44,177,20,8,10,10,3,"1,9","kann Frage nicht sinnvoll beantworten",0.5,20,"ja","nein",6,"ja","darf nicht waehlen","Diplom (abgeschlossenes Studium)",3000,"nein","","gelegentlich (einige Male pro Monat)","ja","ja","bitte nicht"
"183","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",43,172,45,6,7,8,5,"3,6","13",17,45,"ja","nein",7,"ja","werde nicht waehlen","Abitur",NA,"ja","8","nein, nie","nur gelegentlich","nein","bitte nicht"
"184","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",44,183,0,5,10,7,10,"2,4","kann Frage nicht sinnvoll beantworten",32,50,"keine Ahnung","nein",18,"ja","AfD","Diplom (abgeschlossenes Studium)",2500,"ja","4","haeufig (einige Male pro Woche)","nein","ja","mir egal"
"185","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",37,168,6,5,8,3,2,"2,2","6",9,45,"nein","ja",3.5,"moechte ich nicht sagen","Die Linke","Diplom (abgeschlossenes Studium)",NA,"ja","8","gelegentlich (einige Male pro Monat)","ja","ja","unbedingt"
"186","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",35,159,NA,4,10,7,5,"3,7","kann Frage nicht sinnvoll beantworten",3,10,"nein","nein",3,"bin nicht sicher","werde nicht waehlen","Dr.",2800,"nein","5","gelegentlich (einige Male pro Monat)","nein","nein","mir egal"
"187","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",39,159,0,3,9,5,1,"3,2","0",9,15,"keine Ahnung","nein",1.5,"nein","Die Linke","Dr.",2500,"ja","8","selten (einige Male pro Jahr)","nur gelegentlich","ja","mir egal"
"188","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",39,168,3,4,6,3,4,"3,2","2",23,50,"keine Ahnung","kann Frage nicht sinnvoll beantworten",5,"nein","","Hauptschul- oder Realschulabschluss",3000,"ja","5","haeufig (einige Male pro Woche)","nein","nein","bitte nicht"
"189","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",45,186,25,10,7,10,10,"1,0","15",3,15,"ja","nein",0.1,"nein","darf nicht waehlen","Diplom (abgeschlossenes Studium)",2500,"nein","6","nein, nie","nein","nein","mir egal"
"190","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",45,182,15,9,9,10,10,"3,0","11",2,15,"ja","kann Frage nicht sinnvoll beantworten",10,"bin nicht sicher","SPD","Abitur",80000,"nein","3","gelegentlich (einige Male pro Monat)","nein","ja","unbedingt"
"191","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",45,181,11,8,3,7,9,"2,7","9",1.2,20,"nein","ja",5,"nein","Gruene","Abitur",2000,"nein","7","gelegentlich (einige Male pro Monat)","nein","ja","unbedingt"
